UrlId	Seed URL	Cost	Trial to success cost
27	http://www.cityyeast.com/passion3_show.php?passion3type_id2=34&passion3_id=1563	1	1
28	http://www.comedy.com.tw/2020/04/30/wnl/	10	10
29	http://www.eagletek.com.tw/news.php?act=view&no=78	2	2
30	http://www.gston.com.tw/product_detail.php?item=72	1	1
31	http://www.guandu-natureart.tw/event/423	1	1
32	http://www.hondao.org.tw/news-detail/938	1	1
33	http://www.ice.net.tw/ice_class_view.php?csn=3862	10	(Event Source Page was not found)
34	http://www.irun.com.tw/activity/activity.php?sid=6802	3	3
35	http://www.ldatc.org.tw/news/%e3%80%9010%e6%9c%8818%e6%97%a5%e5%8f%b0%e4%b8%ad%e5%b8%82%e5%ad%b8%e7%bf%92%e9%9a%9c%e7%a4%99%e5%8d%94%e6%9c%83%e6%bc%86%e5%bd%88%e6%b0%b4%e6%99%b6%e5%bd%88%e6%b4%bb%e5%8b%95%e3%80%91-164.html	1	1
36	http://www.majisquare.com/event_view.php?id=64419	1	1
37	http://www.psy.ntu.edu.tw/index.php/homepage/speech/2352-1091104	2	2
38	https://www.rectp.org/2018/01/2020.html	6	(Event Source Page was not found)
39	http://www.sinpink.com/lecture_dt.php?id=158	7	7
40	http://www.twcenter.org.tw/archives/4263	1	1
41	http://www.urcda.org.tw/study_ii.html?getId=44	2	2
42	http://www.wsa.com.tw/show.php?pi_index=966	1	1
43	http://www.xwtsc.com/news_detail.php?NNo=402	2	2
44	http://www.yssa.org.tw/2020/06/86.html	3	3
45	https://1289084.kktix.cc/events/904bfc4c-copy-11	2	2
46	https://actio.ncl.edu.tw/activitydetails?uid=2&pid=211	1	1
47	https://activity.tipo.gov.tw/ct.asp?xItem=37379&ctNode=817&mp=1	9	(Event Source Page was not found)
48	https://cavesconnect.cavesbooks.com.tw/event/2020-cc-yearendevent/	3	3
49	https://www.pcsr.com.tw/ptsr/sropsp-lectures-E20201101094	2	2
50	https://chccp.e-land.gov.tw/exhibitions/%e5%b1%95%e8%a6%bd%e2%94%82%e5%ae%9c%e8%98%ad%e6%a4%85%e5%b8%b8%e8%a8%ad%e5%b1%95/	1	1
51	https://community.decathlon.tw/en/activities/101498	3	(Event Source Page was not found)
52	https://community.society.taichung.gov.tw/registration/Details.aspx?Parser=99,7,36,,,,,153	1	1
53	https://ddyp.ddm.org.tw/activity.php?no=191	1	1
54	https://dschool.ntu.edu.tw/activity/107	2	2
55	https://event.rhythmsmonthly.com/tc-events/%e8%82%b2%e5%85%92%e6%94%be%e9%a3%9b%e8%a8%98/	6	6
56	https://www.sce.pccu.edu.tw/class_detail.aspx?id=0A34A912A	3	3
57	https://ievents.iii.org.tw/EventS.aspx?t=0&id=814	1	1
58	https://kingcar.org.tw/project/501222	18	(Event Source Page was not found)
59	https://kml.kcg.gov.tw/act/info/detail?key=73	3	3
60	https://lkkpomia.tgb.org.tw/posts/142/	2	2
61	http://activity.dsa.fju.edu.tw/Activity.jsp?activityID=28843	1	1
62	http://artist.nccu.edu.tw/fm1.html	1	1
63	http://bambooculture.com/civicrm/event/info?reset=1&id=166	1	1
64	http://jam.jutfoundation.org.tw/civicrm/event/info?reset=1&id=491	1	1
65	http://www.khm.org.tw/tw/event/detail/22	1	1
66	http://online.ktli.org.tw/event_20210508.php	1	1
67	http://techpromot.ccu.edu.tw/event/showEvent/78	5	5
68	http://tpecitygod.org/hot-news1030624.html	1	1
69	https://www.chimeimuseum.org/%E7%95%B6%E6%9C%9F%E5%B1%95%E8%A6%BD/4C579057-AAB3-4618-80B8-9F89975D0871/40/120	2	2
70	http://www.dadun.culture.taichung.gov.tw/Exhibition/ActiveDetail?g=AAD0000255	2	2
71	https://www.sow.org.tw/civicrm/event/info?reset=1&id=9780	1	1
72	https://www.mocataipei.org.tw/tw/ExhibitionAndEvent/Info/%E8%A8%98%E6%86%B6%E7%9A%84%E7%96%86%E7%95%8C	1	1
73	http://www.parenting.tw/campaign_detail.asp?artid=00024&nouse=1443	1	1
74	http://www.poly.tw/article.php?id=339	1	1
75	http://www.psygarden.com.tw/news.php?func=activity&activityid=MjAyMDEwMjgxODU1MzU=	1	1
76	http://www.sundaytour.com.tw/zh-tw/player/edm-detail.php?tripid=&pid=194	1	1
77	https://act.cjcu.edu.tw/ActiveSite/act.aspx?id=11630	1	1
78	https://www.ncl.edu.tw/activityhistory_238_848.html	1	1
79	https://cheng-sing.com/blog/GPnQ2h	2	2
80	http://www.aheritage.tw/27963212053533824687.html	1	1
81	https://conference.itl.nctu.edu.tw/conference_content.php?CONF_ID=356	1	1
82	https://culture.skm.com.tw/ActEvent/Cweb/ActiveContent?MenuUUID=fbb04422-ea7f-4126-bfc6-18398af36442&ActUUID=d111af2e-1806-44b7-b1cc-efddb32e479f	1	1
83	https://culture.tainan.gov.tw/registration/index-1.php?m2=53&sid=1127	23	(Event Source Page was not found)
84	https://erf.org.tw/events/%e5%a4%a9%e6%b6%af%e6%b5%b7%e8%a7%92%e9%9b%bb%e5%bd%b1%e9%99%a2%e9%a6%ac%e5%b4%97%e5%a0%b4%ef%bc%9a%e3%80%8a%e5%9b%9e%e4%be%86%e5%ae%89%e5%b9%b3%e6%b8%af%e3%80%8b%e6%9a%a8%e7%99%be%e5%b9%b4%e7%9f%b3/	1	1
85	https://event.culture.tw/NMP/portal/Registration/C0103MAction?useLanguage=tw&actId=00060&request_locale=tw	1	1
86	https://fantasystory.com.tw/ltp_view.php?id=2394	2	2
87	https://hiking.biji.co/index.php?q=news&act=info&id=18735	1	1
88	https://www.tys.org.tw/fycm/article.asp?article_id=314	1	1
89	https://law.moeasmea.gov.tw/ailt/modules/events/detail.php?id=188	1	1
90	https://rice.furkid.org/%e6%b4%bb%e5%8b%95/%e3%80%90%e6%b4%bb%e5%8b%95%e3%80%91lifeapp%e8%88%92%e5%bc%a7%e5%a2%8a/	1	1
91	https://skyline.tw/activity/activity-uioq923lszeqb9e48vedum18fsml0mu	3	3
92	https://south.npm.gov.tw/ActivityInfoDetailC003210.aspx?Cond=fff2bebb-f05c-435f-90bf-b454c9a3959b&appname=ActivityInfo3213&State=2	3	3
93	https://www.wildviewtaiwan.org.tw/movie/1831	5	5
94	https://vvg.com.tw/news-post/262	2	2
95	https://www.228.org.tw/228museum_exhibition-view.php?ID=342	1	1
96	https://www.bigcamera.com.tw/activity_view.php?no=236	1	1
97	https://www.ccat.tw/civicrm/event/info?reset=1&id=105	1	1
98	https://www.coliving.taichung.gov.tw/civicrm/event/info?reset=1&id=75	1	1
99	https://www.hfec.org.tw/content/18697	1	1
100	https://www.orchina.net/event/672	1	1
There are a total of 100 events, of which 93 events have found the Event Source Page.
Success rate: 0.930
Trial to success cost: 165, Trial to success average cost: 1.774
Total cost: 247, Total average cost: 2.470
